start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
24.02.2002;864;30;78936;6;12
24.02.2002;376;64;61608;25;50
24.02.2002;848;192;202152;6;12
25.02.2002;1088;1264;987960;3;6
25.02.2002;240;18;16128;12;25
25.02.2002;72;15;5256;6;12
25.02.2002;180;20;12360;12;25
25.02.2002;176;12;9744;6;12
25.02.2002;68;16;5232;12;25
25.02.2002;180;16;12264;12;25
25.02.2002;320;88;72312;12;25
25.02.2002;532;44;65256;12;25
25.02.2002;544;144;139848;25;50
25.02.2002;548;38;48456;12;25
25.02.2002;452;52;63432;12;25
25.02.2002;284;20;27048;6;12
25.02.2002;220;18;17880;6;12
25.02.2002;332;136;80160;3;6
25.02.2002;344;18;24456;6;12
25.02.2002;516;20;33144;6;12
25.02.2002;124;22;8832;12;25
25.02.2002;444;120;65304;25;50
25.02.2002;132;15;7032;12;25
25.02.2002;292;48;29376;12;25
25.02.2002;248;30;22896;12;25
25.02.2002;516;184;119640;25;50
25.02.2002;348;40;51240;12;25
26.02.2002;160;44;25944;12;25
26.02.2002;1480;128;456408;12;25
26.02.2002;188;42;21768;6;12
26.02.2002;672;912;526512;100;300
26.02.2002;68;16;5040;12;25
26.02.2002;304;56;44760;25;50
26.02.2002;1932;24;141054;12;25
26.02.2002;100;4;2129;6;12
26.02.2002;876;160;404424;6;12
26.02.2002;332;38;48504;6;12
26.02.2002;196;28;21192;6;12
26.02.2002;496;42;87936;6;12
26.02.2002;348;44;74496;6;12
26.02.2002;444;184;174768;6;12
26.02.2002;504;18;40452;6;12
26.02.2002;456;17;33900;6;12
26.02.2002;404;20;29976;6;12
26.02.2002;720;17;34426;6;12
27.02.2002;1340;384;714696;12;25
27.02.2002;80;11;4416;6;12
27.02.2002;236;18;19560;6;12
27.02.2002;204;120;69096;3;6
27.02.2002;880;92;201048;12;25
27.02.2002;500;1968;2273400;3;6
27.02.2002;280;96;120528;3;6
27.02.2002;64;11;3240;6;12
27.02.2002;612;2416;3157848;12;25
28.02.2002;2160;240;801912;12;25
28.02.2002;1156;56;166944;12;25
28.02.2002;584;18;37968;6;12
28.02.2002;228;22;18576;12;25
28.02.2002;824;160;198120;6;12
28.02.2002;236;26;24480;6;12
28.02.2002;1476;160;169344;12;25
28.02.2002;128;9;6096;6;12
28.02.2002;128;12;7536;6;12
28.02.2002;200;15;14304;6;12
28.02.2002;328;26;37176;6;12
28.02.2002;572;26;58488;6;12
28.02.2002;280;38;36480;12;25
28.02.2002;124;120;33360;3;6
28.02.2002;84;12;4776;6;12
28.02.2002;72;10;3456;6;12
28.02.2002;72;24;8568;6;12
28.02.2002;196;26;23280;12;25
28.02.2002;304;416;297984;25;50
28.02.2002;100;16;8328;6;12
28.02.2002;372;23;31540;6;12
28.02.2002;92;3;1123;6;12
28.02.2002;192;20;18192;6;12
28.02.2002;220;40;37872;6;12
28.02.2002;300;76;74976;6;12
01.03.2002;368;22;31488;12;25
01.03.2002;196;42;28416;6;12
01.03.2002;252;72;52560;12;25
01.03.2002;820;160;236232;12;25
01.03.2002;92;32;11328;12;25
01.03.2002;272;36;37896;12;25
01.03.2002;248;22;22872;6;12
01.03.2002;188;24;20688;12;25
01.03.2002;332;24;35808;12;25
01.03.2002;256;44;36672;12;25
01.03.2002;212;120;81168;12;25
01.03.2002;684;208;235168;12;25
01.03.2002;8;6;254;3;6
01.03.2002;24;4;600;6;12
01.03.2002;556;13;21884;12;25
01.03.2002;792;1712;5103216;6;12
01.03.2002;1552;3184;5772480;12;25
01.03.2002;1088;336;886848;6;12
02.03.2002;288;18;20472;12;25
02.03.2002;320;46;38064;12;25
02.03.2002;176;24;19992;6;12
02.03.2002;284;9;12408;12;25
03.03.2002;616;152;226512;12;25
03.03.2002;776;48;99768;12;25
04.03.2002;380;16;23064;6;12
04.03.2002;500;22;34056;12;25
04.03.2002;320;33;33138;6;12
04.03.2002;152;16;11655;6;12
05.03.2002;308;36;43800;6;12
05.03.2002;1536;152;653136;6;12
05.03.2002;488;160;220896;12;25
05.03.2002;212;26;26592;6;12
05.03.2002;656;42;117648;6;12
05.03.2002;556;168;344424;6;12
05.03.2002;1220;128;479232;6;12
05.03.2002;1324;1392;1065048;12;25
05.03.2002;656;80;148800;6;12
05.03.2002;132;22;12312;6;12
05.03.2002;92;22;8304;6;12
05.03.2002;56;16;4392;6;12
05.03.2002;528;784;657336;12;25
05.03.2002;88;20;7920;6;12
05.03.2002;1052;144;491496;6;12
05.03.2002;848;64;162288;6;12
05.03.2002;196;18;17256;6;12
05.03.2002;2532;120;798000;6;12
05.03.2002;1648;368;1075920;6;12
05.03.2002;260;20;19104;6;12
05.03.2002;324;48;50400;6;12
05.03.2002;720;46;127536;6;12
05.03.2002;1296;76;230784;6;12
05.03.2002;380;104;134808;6;12
05.03.2002;1384;144;418728;6;12
05.03.2002;228;38;42864;6;12
05.03.2002;428;64;129696;6;12
05.03.2002;168;68;60768;6;12
05.03.2002;228;76;84096;6;12
05.03.2002;1016;448;1021440;6;12
05.03.2002;244;42;35448;6;12
05.03.2002;448;30;57072;6;12
05.03.2002;392;20;35328;6;12
05.03.2002;440;46;53400;6;12
05.03.2002;164;26;17304;6;12
05.03.2002;584;432;1064160;6;12
05.03.2002;520;288;685056;6;12
05.03.2002;1428;240;1501056;6;12
05.03.2002;588;168;468552;6;12
05.03.2002;276;64;85224;6;12
06.03.2002;1220;200;666720;6;12
06.03.2002;912;240;712704;3;6
06.03.2002;1016;128;530592;3;6
06.03.2002;844;240;431760;6;12
06.03.2002;272;76;82368;6;12
06.03.2002;1492;96;570960;6;12
06.03.2002;72;24;7728;6;12
06.03.2002;244;26;27648;6;12
06.03.2002;616;92;117624;6;12
06.03.2002;168;46;31632;6;12
06.03.2002;288;36;30408;6;12
06.03.2002;276;288;165504;12;25
06.03.2002;256;56;38880;6;12
06.03.2002;124;72;24960;6;12
06.03.2002;208;34;26424;6;12
06.03.2002;1212;688;1776264;6;12
06.03.2002;788;104;305328;6;12
06.03.2002;356;28;30504;6;12
06.03.2002;260;34;38424;6;12
06.03.2002;924;40;114912;6;12
06.03.2002;220;32;29688;6;12
06.03.2002;192;26;24672;6;12
06.03.2002;400;28;40368;6;12
06.03.2002;308;88;44544;6;12
06.03.2002;404;28;49224;6;12
06.03.2002;612;34;81960;6;12
06.03.2002;160;18;15240;6;12
06.03.2002;220;30;26832;6;12
06.03.2002;376;80;73224;6;12
06.03.2002;240;20;18024;6;12
06.03.2002;396;46;72912;6;12
06.03.2002;176;36;30144;6;12
06.03.2002;672;104;119952;6;12
06.03.2002;312;36;25848;6;12
06.03.2002;412;30;39840;6;12
06.03.2002;712;84;126816;6;12
06.03.2002;224;34;27168;6;12
06.03.2002;108;108;28608;12;25
06.03.2002;204;34;24312;6;12
06.03.2002;296;18;23496;6;12
06.03.2002;244;38;33864;6;12
06.03.2002;96;16;6984;6;12
06.03.2002;344;24;32352;6;12
06.03.2002;368;30;44736;6;12
06.03.2002;528;144;112512;12;25
06.03.2002;196;26;23616;6;12
06.03.2002;140;64;34032;6;12
07.03.2002;712;42;120600;6;12
07.03.2002;468;112;132336;6;12
07.03.2002;564;48;124656;6;12
07.03.2002;648;144;463560;6;12
07.03.2002;1168;400;1462752;6;12
07.03.2002;1812;320;1360224;3;6
07.03.2002;344;64;91584;6;12
07.03.2002;1632;1072;4800960;12;25
07.03.2002;812;368;548016;6;12
07.03.2002;212;56;58368;6;12
07.03.2002;1352;848;2683416;12;25
07.03.2002;616;304;562272;6;12
07.03.2002;428;104;138096;6;12
07.03.2002;476;64;141648;6;12
07.03.2002;748;52;184752;6;12
07.03.2002;316;240;349536;6;12
07.03.2002;2020;288;2643648;6;12
07.03.2002;296;216;337152;6;12
07.03.2002;1016;448;1728216;6;12
07.03.2002;3028;4336;19173408;12;25
07.03.2002;464;56;123360;6;12
07.03.2002;152;92;41424;6;12
07.03.2002;1088;160;491712;6;12
07.03.2002;352;1392;1763760;3;6
07.03.2002;836;46;158640;6;12
07.03.2002;180;32;30096;6;12
07.03.2002;516;60;110304;6;12
07.03.2002;328;384;568320;6;12
07.03.2002;232;304;346944;6;12
07.03.2002;72;84;33216;3;6
07.03.2002;200;68;61488;6;12
07.03.2002;1680;2928;2572608;25;50
07.03.2002;180;56;43296;6;12
07.03.2002;1208;63;138435;12;25
07.03.2002;1604;272;584736;3;6
07.03.2002;1992;128;433080;3;6
08.03.2002;536;144;164376;3;6
08.03.2002;416;256;205320;3;6
08.03.2002;660;30;64920;12;25
08.03.2002;360;68;59232;12;25
08.03.2002;108;18;8376;12;25
08.03.2002;560;192;190008;12;25
09.03.2002;520;34;52944;25;50
09.03.2002;568;22;53952;12;25
09.03.2002;268;40;47616;12;25
09.03.2002;304;32;44832;12;25
09.03.2002;212;20;14880;12;25
09.03.2002;140;184;66840;50;100
09.03.2002;1756;80;269976;6;12
09.03.2002;1132;368;967944;12;25
09.03.2002;956;72;263640;6;12
09.03.2002;1264;44;226896;12;25
09.03.2002;528;30;70464;6;12
10.03.2002;188;15;12264;12;25
10.03.2002;176;26;18312;25;50
10.03.2002;180;84;51528;25;50
10.03.2002;372;22;25800;12;25
10.03.2002;732;34;75384;12;25
10.03.2002;580;64;100128;12;25
10.03.2002;3276;1008;10155840;6;12
11.03.2002;924;92;361104;3;6
11.03.2002;2432;56;503856;6;12
11.03.2002;268;16;23160;6;12
12.03.2002;612;34;84960;12;25
12.03.2002;296;28;32088;6;12
12.03.2002;368;2288;2493151;6;12
12.03.2002;3388;22512;117629232;25;50
13.03.2002;552;28;67632;6;12
13.03.2002;504;40;71544;6;12
13.03.2002;464;42;75120;6;12
13.03.2002;504;36;65496;6;12
13.03.2002;508;76;70032;6;12
13.03.2002;984;76;200064;6;12
13.03.2002;276;48;49224;6;12
13.03.2002;364;48;74208;6;12
13.03.2002;680;1072;933360;12;25
13.03.2002;492;100;75480;6;12
13.03.2002;324;36;40632;6;12
13.03.2002;576;68;141864;6;12
13.03.2002;964;192;387552;6;12
13.03.2002;496;34;78000;6;12
13.03.2002;388;48;85440;6;12
13.03.2002;680;56;133056;6;12
13.03.2002;232;20;23736;6;12
13.03.2002;796;880;690456;12;25
13.03.2002;336;272;243840;6;12
13.03.2002;436;80;126576;6;12
13.03.2002;1112;46;192480;6;12
13.03.2002;460;16;33432;6;12
13.03.2002;152;15;10176;6;12
13.03.2002;136;24;12072;6;12
13.03.2002;352;20;26880;6;12
13.03.2002;44;22;4704;6;12
